expdate,strike,Call/Put,Symbol,Price,Bid,Ask,Change,Percent Change,Volume,Open Interest,Option Value,IV,Param IV,Delta,Gamma,Theta,Alpha,Vega,Rho
06/19/2015,12.0,Call,BBRY  150619C00012000,1.175,1.16,1.19,-0.01,-0.4237,70,5428,1.1750,0.5235,51.887,0.4739,0.1015,-0.0046,-21.9050,0.0298,0.0188
06/19/2015,12.0,Put,BBRY  150619P00012000,2.155,2.14,2.17,0.01,0.4662,58,3420,2.1550,0.5155,51.887,-0.5292,0.1036,-0.0045,-23.1727,0.0299,-0.0307
09/18/2015,10.0,Call,BBRY  150918C00010000,2.410,2.28,2.54,-0.04,-1.6327,20,74,2.4100,0.531,51.1704,0.6702,0.0734,-0.0035,-21.0677,0.0336,0.0354
09/18/2015,10.0,Put,BBRY  150918P00010000,1.325,1.20,1.45,-0.08,-5.6939,0,209,1.3250,0.5092,51.1704,-0.3302,0.0771,-0.0032,-23.8205,0.0334,-0.0307
09/18/2015,11.0,Call,BBRY  150918C00011000,1.910,1.85,1.97,-0.02,-1.0363,40,107,1.9100,0.5178,50.8507,0.5881,0.0810,-0.0036,-22.2112,0.0361,0.0325
09/18/2015,11.0,Put,BBRY  150918P00011000,1.860,1.74,1.98,-0.07,-3.876,0,933,1.8600,0.5081,50.8507,-0.4143,0.0832,-0.0035,-24.0234,0.0362,-0.0384
09/18/2015,12.0,Call,BBRY  150918C00012000,1.515,1.43,1.60,-0.03,-2.2581,4,366,1.5150,0.5123,50.9134,0.5078,0.0839,-0.0037,-22.7311,0.0370,0.0290
09/18/2015,12.0,Put,BBRY  150918P00012000,2.505,2.36,2.65,-0.04,-1.5717,0,230,2.5050,0.5144,50.9134,-0.4927,0.0843,-0.0036,-23.5552,0.0367,-0.0459
01/15/2016,10.0,Call,BBRY  160115C00010000,2.780,2.70,2.86,-0.04,-1.2433,94,38904,2.7800,0.5278,52.5765,0.6755,0.0608,-0.0029,-21.1289,0.0403,0.0483
01/15/2016,10.0,Put,BBRY  160115P00010000,1.720,1.67,1.77,-0.02,-1.1494,0,22407,1.7200,0.5229,52.5765,-0.3257,0.0620,-0.0027,-22.8973,0.0405,-0.0466
01/15/2016,12.0,Call,BBRY  160115C00012000,1.930,1.88,1.98,-0.04,-2.0305,49,39525,1.9300,0.5148,52.0272,0.5423,0.0688,-0.0031,-22.3325,0.0444,0.0419
01/15/2016,12.0,Put,BBRY  160115P00012000,2.930,2.81,3.05,0.03,1.0345,30,10456,2.9300,0.5258,52.0272,-0.4560,0.0680,-0.0030,-22.9134,0.0445,-0.0659
01/20/2017,10.0,Call,BBRY  170120C00010000,3.675,3.50,3.85,-0.15,-3.9216,60,1759,3.6750,0.5307,51.1392,0.6987,0.0417,-0.0020,-20.7555,0.0549,0.0822
01/20/2017,10.0,Put,BBRY  170120P00010000,2.235,2.07,2.40,-0.08,-3.6638,20,1357,2.2350,0.4687,51.1392,-0.3123,0.0485,-0.0017,-29.1847,0.0556,-0.0943
01/20/2017,12.0,Call,BBRY  170120C00012000,2.990,2.78,3.20,-0.06,-1.9672,33,3230,2.9900,0.5344,49.5631,0.6119,0.0455,-0.0022,-20.5782,0.0603,0.0767
01/20/2017,12.0,Put,BBRY  170120P00012000,3.525,3.25,3.80,0.05,1.4389,183,789,3.5250,0.4769,49.5631,-0.4116,0.0527,-0.0018,-28.6297,0.0610,-0.1265
